transcript_id,SRR13618140,SRR13618141,SRR13618142,SRR13618143,SRR13618144,SRR13618145,SRR13618146,SRR13618147,SRR13618148,SRR13618149,SRR13618150,SRR13618151
MSTRG.99.1,1140,1576,761,886,1454,1567,1173,1172,1270,984,834,1063
MSTRG.101.2,0,0,585,216,136,0,759,298,1009,1100,394,586
MSTRG.100.1,6124,6366,5383,5982,6397,5992,3856,5957,5717,4336,4850,5800
MSTRG.101.1,69,127,602,790,0,100,2023,274,281,779,435,663
MSTRG.102.1,218,211,350,314,157,127,338,245,473,365,267,394
MSTRG.103.1,62,61,87,115,203,110,64,112,112,79,184,128
MSTRG.106.1,27,20,848,307,22,21,2073,734,1319,1603,911,1629
MSTRG.106.2,4,24,203,178,6,8,599,282,270,351,253,360
MSTRG.107.1,19,15,262,108,30,18,549,222,411,437,257,425
MSTRG.104.1,0,8,15,19,11,0,45,13,27,28,15,19
MSTRG.105.1,0,0,531,0,0,0,9,472,78,343,571,1368
MSTRG.105.4,0,0,0,0,0,0,0,468,1,0,0,1
MSTRG.105.5,0,0,730,1648,0,0,1238,321,1222,889,554,0
MSTRG.105.7,0,0,633,1049,0,0,436,773,231,392,883,160
MSTRG.105.2,7,7,22,44,0,0,239,4,823,4,363,233
MSTRG.105.3,812,645,21,79,2331,1936,567,401,37,48,113,203
MSTRG.105.6,1936,1927,1976,1148,532,216,2413,2657,2555,2882,1812,2675
MSTRG.109.1,625,517,374,481,656,589,252,377,359,205,298,247
MSTRG.110.1,122,85,374,438,146,73,398,433,486,406,356,407
MSTRG.111.1,3,3,32,16,22,8,50,39,39,39,23,49
MSTRG.113.1,487,654,530,796,655,485,451,514,612,429,450,661
MSTRG.114.1,74,90,260,199,90,23,326,236,235,315,207,421
MSTRG.115.1,61,64,332,205,58,44,214,152,148,240,148,251
MSTRG.116.1,355,388,874,872,521,238,1046,889,887,860,763,1106
MSTRG.117.1,16,9,54,25,4,11,94,48,60,76,57,68
MSTRG.118.1,29,37,78,55,49,28,21,52,47,26,43,36
MSTRG.112.2,0,0,0,686,2043,0,1320,1137,864,988,374,622
MSTRG.112.4,0,0,1073,1610,0,0,503,205,171,857,234,235
MSTRG.112.5,0,258,0,1351,0,263,0,8,0,0,0,0
MSTRG.112.6,0,0,0,0,0,0,555,286,118,0,0,0
MSTRG.112.8,0,0,0,0,0,0,92,19,88,0,0,0
MSTRG.112.9,0,0,0,15,36,0,91,19,151,751,127,196
MSTRG.112.10,0,0,0,0,0,0,0,0,177,0,147,0
MSTRG.112.11,0,0,0,0,0,0,0,0,0,0,130,0
MSTRG.112.12,0,0,27,0,0,0,0,0,0,0,0,0
MSTRG.108.1,35336,38656,48794,53401,37773,33052,67156,54476,64108,56046,51172,71698
MSTRG.112.1,2846,2166,1305,99,1248,1743,4090,3380,5728,3214,2768,3032
MSTRG.112.3,36,0,1323,0,0,0,607,1972,713,330,292,247
MSTRG.112.7,439,0,112,0,0,0,93,19,150,715,121,204
MSTRG.121.1,13,0,48,45,6,0,50,60,48,42,52,44
MSTRG.119.1,71,106,124,185,119,98,65,140,83,61,111,116
MSTRG.120.1,459,219,1397,1278,270,105,895,982,1160,1079,1379,1374
MSTRG.122.1,0,0,30,0,0,0,108,0,26,0,0,30
MSTRG.122.2,23,8,135,78,24,15,71,164,113,216,125,81
MSTRG.124.1,29,33,13,41,51,81,55,24,50,34,30,51
MSTRG.125.1,13,0,25,73,19,17,31,38,17,69,34,51
MSTRG.123.1,136180,136410,100704,120514,140805,130480,89419,130466,116493,101616,115817,112837
MSTRG.126.1,1058,771,553,878,686,576,573,1365,1314,1048,980,468
MSTRG.127.2,5954,853,2322,2758,611,905,1746,2969,2450,1550,1497,2410
MSTRG.127.1,1500,5725,4659,4022,5906,4400,5932,5603,6484,6295,5097,4704
MSTRG.129.1,1131,816,833,1103,1016,858,1115,1273,1274,1140,1178,1177
MSTRG.130.1,1056,1203,963,911,1249,1150,1071,1456,1351,1251,1152,1230
MSTRG.128.1,105845,106868,39113,53948,100044,108031,40850,64309,55871,46518,57097,50968
MSTRG.132.1,616,299,3460,2146,450,359,5263,4225,4777,5478,3812,4877
MSTRG.132.2,119,339,563,558,316,86,1210,747,837,1082,542,765
MSTRG.133.1,115,120,3980,1436,120,71,4912,3721,4278,5273,3021,3802
MSTRG.134.1,7,15,87,49,11,3,278,113,112,173,66,116
MSTRG.135.1,15,21,92,61,30,0,190,72,137,129,94,86
MSTRG.131.1,21504,17676,19467,22951,18492,12934,18818,26775,23865,20722,20272,20411
MSTRG.136.1,481,424,1186,827,460,313,1772,1052,1190,1615,904,1369
MSTRG.137.1,874,608,1560,1511,820,419,1637,1625,1731,1702,1352,1618
MSTRG.139.1,10,0,117,78,14,0,161,150,189,33,171,38
MSTRG.139.2,45,47,85,20,7,0,27,45,39,202,22,143
MSTRG.140.1,7,13,41,27,13,16,44,17,26,23,26,59
MSTRG.141.1,11,8,39,24,11,6,31,9,17,6,9,21
MSTRG.138.1,2743,2927,1823,2673,3168,2812,1335,1722,1805,1124,1551,1509
MSTRG.143.2,0,0,0,0,0,0,0,0,0,19,0,0
MSTRG.143.3,0,0,0,0,0,0,0,0,0,2164,0,0
MSTRG.143.4,0,0,0,0,0,0,1330,0,0,0,0,0
MSTRG.143.5,0,0,321,0,0,0,0,0,0,0,0,0
MSTRG.143.1,311,279,1319,1015,244,143,686,2245,2288,270,1961,2331
MSTRG.142.1,191,163,1232,777,214,84,1006,1395,1387,1421,1057,1182
MSTRG.145.1,63,28,51,82,38,30,140,88,150,133,54,89
MSTRG.144.1,17424,18792,13392,12789,14904,13183,17728,23440,22520,20391,20781,21765
MSTRG.146.1,1446,823,944,828,1045,748,1659,1474,1837,1742,1147,1232
MSTRG.147.1,890,787,326,355,922,716,306,527,499,378,394,329
MSTRG.149.1,17,11,10,8,12,12,72,17,37,51,26,33
MSTRG.150.1,21,21,14,27,12,12,41,12,32,55,11,21
MSTRG.151.1,3,3,4,15,0,2,22,8,13,28,5,12
MSTRG.152.1,28,5,52,39,33,42,224,96,116,154,37,91
MSTRG.153.1,198,80,214,142,155,79,653,303,444,548,237,288
MSTRG.154.1,1924,1331,990,1154,1776,1628,1466,1639,1911,1498,1115,1214
MSTRG.155.1,665,815,473,548,847,877,744,644,751,635,529,717
MSTRG.156.1,1324,1000,1248,1596,1217,936,1122,1554,1456,1392,1291,1460
MSTRG.157.1,181,206,83,110,266,271,140,93,110,81,103,117
MSTRG.157.2,97,160,96,98,172,220,2,95,84,49,82,81
MSTRG.157.3,53,38,13,24,66,76,19,31,21,12,21,16
MSTRG.159.1,28,22,35,21,28,40,24,29,24,23,38,28
MSTRG.158.2,0,1244,0,0,0,0,0,100,67,536,147,0
MSTRG.158.1,1540,41,847,1115,1410,1106,1506,1115,1576,683,741,1332
MSTRG.161.3,0,1151,136,99,39,518,106,218,30,75,107,0
MSTRG.161.5,0,0,0,0,76,0,67,194,229,165,0,0
MSTRG.161.1,402,142,686,836,1864,182,1431,1164,1891,1761,255,667
MSTRG.161.2,1037,728,493,1110,327,1204,1570,1338,1366,991,497,679
MSTRG.161.4,893,0,520,154,178,374,752,537,263,774,804,682
MSTRG.160.1,508,415,228,346,598,339,351,498,469,335,162,195
MSTRG.162.1,89,84,74,90,48,44,144,50,108,79,108,80
MSTRG.163.1,134,81,66,167,138,108,55,29,89,73,62,55
MSTRG.165.1,0,11,8,0,21,23,35,0,33,20,19,32
MSTRG.164.2,0,0,98,0,93,55,73,0,211,92,74,57
MSTRG.164.1,778,641,213,476,559,567,410,328,279,217,313,353
MSTRG.166.1,72,57,53,104,84,64,47,65,87,40,52,68
MSTRG.168.1,1554,1974,306,548,1759,2377,566,704,612,441,391,523
MSTRG.168.2,471,648,265,459,320,481,216,312,813,275,260,373
MSTRG.168.3,151,125,350,208,384,62,310,314,163,99,185,317
MSTRG.169.1,135,134,86,118,199,111,82,149,64,44,52,80
MSTRG.170.1,116,73,125,112,129,89,251,183,173,180,134,114
MSTRG.170.2,114,109,100,109,113,101,335,133,376,234,78,103
MSTRG.171.1,451,290,267,279,336,271,655,465,577,475,213,335
MSTRG.172.1,83,75,29,41,68,82,163,77,158,99,43,67
MSTRG.173.1,170,161,155,171,164,113,336,216,263,264,145,101
MSTRG.174.1,2257,1650,1321,1638,2222,1802,1981,1739,2220,1572,999,998
MSTRG.178.1,10,53,24,22,30,30,65,54,37,37,24,49
MSTRG.179.2,75,51,112,74,43,30,263,131,141,215,85,146
MSTRG.179.1,3,52,113,79,43,30,286,131,141,209,89,158
MSTRG.180.1,721,509,245,324,619,640,280,383,319,272,221,264
MSTRG.176.2,0,611,0,0,0,0,0,0,0,786,172,0
MSTRG.175.1,40,33,305,177,70,45,423,200,227,445,131,274
MSTRG.176.1,4616,1125,5333,4840,4842,2078,7156,5733,5445,5729,3730,6466
MSTRG.176.3,184,91,921,577,120,51,1137,686,963,1523,468,1088
MSTRG.177.1,2058,3787,3076,2972,1422,2308,2702,3881,4497,3073,2818,2753
MSTRG.181.1,196,117,275,309,232,139,227,336,344,278,269,364
MSTRG.181.2,12,51,181,198,6,3,159,167,117,156,88,66
MSTRG.182.1,796,942,742,769,870,717,670,894,814,645,706,751
MSTRG.183.1,45,42,125,115,67,0,175,109,149,143,0,133
MSTRG.184.2,0,1,33,270,0,1618,5,207,14,18,0,47
MSTRG.184.1,1690,1854,1516,1651,1902,0,2319,2259,2848,2399,1914,2023
MSTRG.185.1,0,2,12,2,0,0,0,7,5,2,7,12
MSTRG.186.1,170,154,78,170,87,176,128,76,100,133,79,158
MSTRG.186.2,45,29,0,32,131,27,8,20,26,12,23,3
MSTRG.187.2,0,2,2,3,0,0,2,0,1976,0,0,0
MSTRG.188.1,0,0,414,0,0,0,1047,1146,316,790,941,685
MSTRG.187.1,4083,3607,3038,3262,4396,3561,3044,3705,2177,2857,2638,3400
MSTRG.188.2,1245,1355,438,905,1362,1573,238,0,939,180,0,471
MSTRG.189.1,298,236,150,321,295,275,113,157,160,134,162,128
MSTRG.189.2,90,61,43,57,54,85,33,118,52,62,31,82
MSTRG.189.3,111,152,125,33,74,90,54,78,90,27,61,76
MSTRG.190.1,137,136,93,150,158,129,117,92,117,98,98,93
MSTRG.191.2,0,0,0,2,61,0,19,0,27,11,5,33
MSTRG.191.4,0,41,0,12,0,57,19,123,87,18,14,31
MSTRG.191.1,149,49,165,150,89,63,275,221,217,217,236,165
MSTRG.191.3,36,36,24,57,0,19,35,15,4,53,37,48
MSTRG.192.2,0,0,0,688,0,0,0,0,0,0,0,0
MSTRG.192.1,462,365,842,0,379,285,1812,1038,1218,1310,799,1171
MSTRG.194.1,26,45,27,50,56,19,45,59,53,39,53,39
MSTRG.193.1,1001,952,525,817,1002,792,623,859,736,605,614,713
MSTRG.195.1,14,21,84,48,10,3,178,67,96,134,59,128
MSTRG.196.1,631,703,447,652,822,745,420,673,554,421,414,459
MSTRG.199.1,123,88,251,275,138,68,240,144,238,173,170,258
MSTRG.197.3,0,0,118,0,0,0,68,89,100,173,1086,47
MSTRG.197.1,6,0,851,5707,0,0,2004,1303,1881,2116,1115,2205
MSTRG.197.2,8650,8124,1498,1608,0,0,3499,7874,6749,4112,3775,4340
MSTRG.197.4,34,0,5468,258,8335,7487,2362,46,141,251,163,2124
MSTRG.198.1,156,143,250,612,204,161,2150,1256,1789,2632,2271,1314
MSTRG.198.2,107,7,273,124,80,7,605,230,901,885,347,419
MSTRG.198.3,59,0,178,212,0,0,181,0,42,336,12,79
MSTRG.200.1,22,37,101,27,67,47,196,111,155,136,80,165
MSTRG.201.1,75,63,91,101,68,29,72,87,86,63,78,90
MSTRG.202.1,25,11,31,15,26,13,34,39,34,48,16,28
MSTRG.203.1,14,4,39,43,6,6,85,26,34,72,29,59
MSTRG.204.1,1168,846,1747,1594,1398,972,2010,1670,1700,1764,1329,1725
MSTRG.205.1,39,20,73,84,30,20,73,104,84,56,58,49
MSTRG.206.1,0,0,0,0,29,0,0,0,27,0,0,0
MSTRG.207.1,28,47,0,2,41,126,4,3,0,0,2,7
MSTRG.208.1,4,35,0,0,8,54,0,0,0,0,0,0
MSTRG.209.1,79,57,31,67,104,100,53,123,96,106,43,65
MSTRG.210.1,6,21,27,20,8,19,17,21,21,16,17,27
MSTRG.211.1,500,340,442,440,376,422,487,492,506,382,341,432
MSTRG.212.1,1087,922,380,272,1070,938,701,941,1426,857,315,308
MSTRG.213.2,0,0,0,0,47,0,0,0,0,0,0,0
MSTRG.213.1,486,464,214,159,614,611,675,642,747,495,106,170
MSTRG.214.1,1,1,1,1,1,0,1,0,1,1,1,0
MSTRG.214.2,1,1,1,1,1,0,0,0,1,1,1,0
MSTRG.214.3,1,2,1,4,4,0,0,0,1,1,1,0
MSTRG.215.2,244,60,284,0,141,0,83,348,959,481,312,398
MSTRG.215.1,229,310,203,502,238,409,1294,994,686,933,369,356
MSTRG.217.1,138,82,107,167,51,112,79,125,152,102,90,110
MSTRG.216.1,8448,5716,8106,9294,8151,6051,15522,15933,20032,15051,9058,9632
MSTRG.219.1,61,105,766,472,103,62,1383,716,886,1355,642,908
MSTRG.218.1,737,621,633,768,531,780,889,1155,1165,1036,1111,1077
MSTRG.220.1,116,97,491,576,157,81,554,406,462,516,385,467
MSTRG.221.1,407,462,610,514,410,287,535,577,571,465,501,583
MSTRG.222.1,10,4,31,0,0,0,73,45,57,77,14,38
MSTRG.224.1,0,5,16,14,0,2,14,18,14,31,21,14
MSTRG.225.1,19,11,112,92,28,11,169,111,132,146,94,128
MSTRG.226.1,442,315,292,476,786,42,406,404,586,337,487,450
MSTRG.227.1,398,483,217,129,106,703,271,349,111,227,86,163
MSTRG.223.2,0,2193,2835,1762,567,3974,2161,2346,2644,1565,1124,1641
MSTRG.223.1,6438,2182,500,2392,3633,1,1603,3041,2110,1573,2631,1847
MSTRG.223.4,9005,1919,6047,7710,1466,744,8138,8451,8435,7498,5519,7834
MSTRG.223.3,5884,14850,7448,6253,15628,13426,8524,10920,11839,10309,9027,9201
MSTRG.231.2,0,0,0,0,0,0,541,0,0,0,2,1196
MSTRG.231.1,1275,1175,1030,875,1247,1391,1087,1318,1464,1413,991,0
MSTRG.228.1,210,244,186,152,306,248,270,260,329,248,226,228
MSTRG.232.2,0,0,7,6,0,0,844,3279,1176,390,1817,1364
MSTRG.232.3,0,0,193,0,0,0,131,0,0,523,0,0
MSTRG.232.1,1840,0,3250,3417,3399,2965,3656,2162,4460,3671,2483,4256
MSTRG.232.4,1539,0,0,0,0,0,0,0,0,0,0,0
MSTRG.232.5,5,3310,108,0,5,0,37,0,0,0,2,5
MSTRG.229.1,119,94,139,194,101,96,128,184,167,190,187,163
MSTRG.230.1,34,47,37,18,35,58,26,17,28,18,14,16
MSTRG.233.1,19,7,2,3,2,8,17,23,66,24,14,25
MSTRG.234.1,22,14,12,8,10,31,10,9,22,16,1,9
MSTRG.237.2,0,0,138,0,293,0,0,247,0,24,177,156
MSTRG.236.1,139,134,24,36,282,168,48,47,24,42,16,24
MSTRG.237.1,638,581,273,315,344,686,423,182,504,411,159,265
MSTRG.238.1,2310,1811,2986,2935,1785,1449,3906,4850,4799,3951,3023,3269
MSTRG.235.1,688,441,335,460,588,612,620,976,916,912,437,409
MSTRG.239.1,241,153,200,216,194,218,195,329,172,211,180,258
MSTRG.241.5,0,0,0,0,0,0,0,108,0,304,0,0
MSTRG.241.6,0,0,0,96,0,0,0,444,58,93,237,624
MSTRG.241.8,0,0,0,0,1135,0,0,24,0,4,0,0
MSTRG.240.1,13,7,119,55,0,24,102,102,119,147,93,96
MSTRG.241.1,25,0,684,544,4,0,1053,218,750,470,266,942
MSTRG.241.2,13,0,552,392,0,0,650,211,232,353,384,144
MSTRG.241.3,12,0,0,284,0,0,0,744,266,394,178,211
MSTRG.241.4,265,572,180,0,392,240,52,97,829,213,0,134
MSTRG.241.7,327,1130,56,203,254,1349,182,187,91,298,681,136
MSTRG.241.9,883,0,44,0,435,1187,39,74,0,19,24,0
MSTRG.241.10,473,592,0,0,0,0,133,0,50,0,0,54
MSTRG.242.1,370,260,370,361,306,249,305,411,438,324,352,395
MSTRG.244.5,0,5,0,0,0,0,0,360,0,0,0,0
MSTRG.244.7,0,0,1461,1604,163,0,260,349,137,293,526,1300
MSTRG.244.8,0,0,0,511,0,853,194,1236,1089,520,612,269
