gene_id	pfam_domain_count	top_pfam_name	top_pfam_accession	top_pfam_ievalue	top_pfam_description	pfam_domains	pfam_accessions	pfam_descriptions	pfam_proteins
MSTRG.10032	4	PH_TFIIH	PF08567.18	7e-18	TFIIH p62 subunit, N-terminal domain	PH_TFIIH;BSD	PF08567.18;PF03909.23	TFIIH p62 subunit, N-terminal domain;BSD domain	MSTRG.10032.1.p1;MSTRG.10032.2.p1
MSTRG.10035	2	LIM	PF00412.29	6.5e-14	LIM domain	LIM	PF00412.29	LIM domain	MSTRG.10035.1.p1
MSTRG.10039	6	RhoGEF	PF00621.26	3.4e-32	RhoGEF domain	RhoGEF;SOS1_NGEF_PH;PH	PF00621.26;PF22697.3;PF00169.36	RhoGEF domain;SOS1/NGEF-like PH domain;PH domain	MSTRG.10039.1.p1;MSTRG.10039.2.p1
MSTRG.10041	7	SH3_KALRN	PF23587.1	1.6e-21	Kalirin, SH3	SH3_KALRN;I-set;Ig_3;ig;fn3;FN3_DSCAM-DSCAML_C;Ig_2	PF23587.1;PF07679.23;PF13927.13;PF00047.32;PF00041.28;PF25059.2;PF13895.13	Kalirin, SH3;Immunoglobulin I-set domain;Immunoglobulin domain;Fibronectin type III domain;DSCAM/DSCAML C-terminal Fn3-like domain	MSTRG.10041.1.p1
MSTRG.10042	2	Pkinase	PF00069.32	4.5e-25	Protein kinase domain	Pkinase;PK_Tyr_Ser-Thr	PF00069.32;PF07714.24	Protein kinase domain;Protein tyrosine and serine/threonine kinase	MSTRG.10042.1.p1
MSTRG.10043	1	Pkinase	PF00069.32	7.4e-09	Protein kinase domain	Pkinase	PF00069.32	Protein kinase domain	MSTRG.10043.1.p1
MSTRG.1005	1	Dynein_C	PF18199.7	2.3e-53	Dynein heavy chain C-terminal domain	Dynein_C	PF18199.7	Dynein heavy chain C-terminal domain	MSTRG.1005.1.p1
MSTRG.10055	3	IRF	PF00605.24	9e-30	Interferon regulatory factor transcription factor	IRF;IRF-3	PF00605.24;PF10401.15	Interferon regulatory factor transcription factor;Interferon-regulatory factor 3	MSTRG.10055.1.p1;MSTRG.10055.2.p1
MSTRG.10056	2	zf-LITAF-like	PF10601.15	6.7e-09	LITAF-like zinc ribbon domain	zf-LITAF-like	PF10601.15	LITAF-like zinc ribbon domain	MSTRG.10056.1.p1;MSTRG.10056.2.p1
MSTRG.10057	3	zf-LITAF-like	PF10601.15	5.9e-24	LITAF-like zinc ribbon domain	zf-LITAF-like	PF10601.15	LITAF-like zinc ribbon domain	MSTRG.10057.1.p1;MSTRG.10057.2.p1;MSTRG.10057.3.p1
MSTRG.10060	10	Glyco_transf_10	PF00852.27	1.4e-34	Glycosyltransferase family 10 (fucosyltransferase) C-term	Glyco_transf_10;Glyco_tran_10_N	PF00852.27;PF17039.11	Glycosyltransferase family 10 (fucosyltransferase) C-term;Fucosyltransferase, N-terminal	MSTRG.10060.3.p1;MSTRG.10060.5.p1;MSTRG.10060.1.p1;MSTRG.10060.4.p1;MSTRG.10060.2.p1;MSTRG.10060.2.p2
MSTRG.10062	2	AMP-binding	PF00501.35	1e-52	AMP-binding enzyme	AMP-binding	PF00501.35	AMP-binding enzyme	MSTRG.10062.2.p1;MSTRG.10062.1.p1
MSTRG.10063	1	AMP-binding	PF00501.35	1.4e-08	AMP-binding enzyme	AMP-binding	PF00501.35	AMP-binding enzyme	MSTRG.10063.1.p1
MSTRG.10067	2	FAM91_N	PF14647.12	2.9e-150	FAM91 N-terminus	FAM91_N;FAM91_C	PF14647.12;PF14648.12	FAM91 N-terminus;FAM91 C-terminus	MSTRG.10067.1.p1
MSTRG.10068	6	GDC-P	PF02347.23	2.8e-181	Glycine cleavage system P-protein	GDC-P;GcvP2_C	PF02347.23;PF21478.4	Glycine cleavage system P-protein;Glycine dehydrogenase, C-terminal domain	MSTRG.10068.1.p1;MSTRG.10068.2.p1
MSTRG.10069	1	FAM91_C	PF14648.12	5.4e-25	FAM91 C-terminus	FAM91_C	PF14648.12	FAM91 C-terminus	MSTRG.10069.1.p1
MSTRG.10070	2	Jiv90	PF14901.12	6.1e-33	Cleavage inducing molecular chaperone	Jiv90;DnaJ	PF14901.12;PF00226.37	Cleavage inducing molecular chaperone;DnaJ domain	MSTRG.10070.1.p1
MSTRG.10071	2	AIG1	PF04548.23	2e-43	AIG1 family	AIG1;MMR_HSR1	PF04548.23;PF01926.30	AIG1 family;50S ribosome-binding GTPase	MSTRG.10071.1.p1
MSTRG.10072	11	Ldl_recept_b	PF00058.24	1.1e-12	Low-density lipoprotein receptor repeat class B	Ldl_recept_b;FXa_inhibition;EGF_LRP2	PF00058.24;PF14670.13;PF24468.2	Low-density lipoprotein receptor repeat class B;Coagulation Factor Xa inhibitory site;LRP2-like, EGF-like domain	MSTRG.10072.1.p1
MSTRG.10073	1	G-patch	PF01585.29	7.5e-11	G-patch domain	G-patch	PF01585.29	G-patch domain	MSTRG.10073.1.p1
MSTRG.10074	8	Ldl_recept_a	PF00057.24	1.2e-10	Low-density lipoprotein receptor domain class A	Ldl_recept_a;Ldl_recept_b;FXa_inhibition	PF00057.24;PF00058.24;PF14670.13	Low-density lipoprotein receptor domain class A;Low-density lipoprotein receptor repeat class B;Coagulation Factor Xa inhibitory site	MSTRG.10074.2.p1;MSTRG.10074.1.p1
MSTRG.10075	18	PCI	PF01399.34	2.9e-11	PCI domain	PCI;Ldl_recept_a;FXa_inhibition;eIF3m_C_helix	PF01399.34;PF00057.24;PF14670.13;PF18005.7	PCI domain;Low-density lipoprotein receptor domain class A;Coagulation Factor Xa inhibitory site;eIF3 subunit M, C-terminal helix	MSTRG.10075.1.p2;MSTRG.10075.2.p2;MSTRG.10075.3.p1;MSTRG.10075.4.p1;MSTRG.10075.5.p1;MSTRG.10075.6.p1;MSTRG.10075.1.p1;MSTRG.10075.2.p1
MSTRG.10076	6	Itfg2	PF15907.12	3.7e-58	Integrin-alpha FG-GAP repeat-containing protein 2	Itfg2	PF15907.12	Integrin-alpha FG-GAP repeat-containing protein 2	MSTRG.10076.2.p1;MSTRG.10076.1.p1;MSTRG.10076.3.p1
MSTRG.10077	3	Beta-prop_THOC3	PF25174.2	1.8e-11	THOC3 beta-propeller domain	Beta-prop_THOC3;WD40_Prp19;Beta-prop_WDR5	PF25174.2;PF24814.2;PF25175.2	THOC3 beta-propeller domain;Prp19 WD40 domain;WDR5 beta-propeller domain	MSTRG.10077.1.p1
MSTRG.10079	17	AAA_33	PF13671.13	1.8e-32	AAA domain	AAA_33;SAP;SPRY	PF13671.13;PF02037.34;PF00622.37	AAA domain;SAP domain;SPRY domain	MSTRG.10079.3.p1;MSTRG.10079.4.p1;MSTRG.10079.5.p1;MSTRG.10079.1.p1;MSTRG.10079.2.p1;MSTRG.10079.6.p1
MSTRG.10080	1	Acylphosphatase	PF00708.25	1.3e-23	Acylphosphatase	Acylphosphatase	PF00708.25	Acylphosphatase	MSTRG.10080.1.p1
MSTRG.10081	5	Y_phosphatase	PF00102.33	4.1e-72	Protein-tyrosine phosphatase	Y_phosphatase;FERM_M;FERM_N;FERM_C;DSPc	PF00102.33;PF00373.24;PF09379.17;PF09380.17;PF00782.26	Protein-tyrosine phosphatase;FERM central domain;FERM N-terminal domain;FERM C-terminal PH-like domain;Dual specificity phosphatase, catalytic domain	MSTRG.10081.1.p1
MSTRG.10084	1	RVT_1	PF00078.33	5.7e-15	Reverse transcriptase (RNA-dependent DNA polymerase)	RVT_1	PF00078.33	Reverse transcriptase (RNA-dependent DNA polymerase)	MSTRG.10084.1.p1
MSTRG.10085	1	MFS_1	PF07690.22	4.2e-32	Major Facilitator Superfamily	MFS_1	PF07690.22	Major Facilitator Superfamily	MSTRG.10085.1.p1
MSTRG.10099	6	PRDM2_PR	PF21549.3	3.4e-28	PR domain zinc finger protein 2, PR domain	PRDM2_PR;zf-H2C2_2;zf-C2H2	PF21549.3;PF13465.13;PF00096.33	PR domain zinc finger protein 2, PR domain;Zinc-finger double domain;Zinc finger, C2H2 type	MSTRG.10099.1.p1;MSTRG.10099.2.p1
MSTRG.101	4	Pou	PF00157.24	4.7e-29	Pou domain - N-terminal to homeobox domain	Pou;Homeodomain	PF00157.24;PF00046.36	Pou domain - N-terminal to homeobox domain;Homeodomain	MSTRG.101.2.p1;MSTRG.101.1.p1
MSTRG.10102	2	Actin	PF00022.26	5.1e-18	Actin	Actin	PF00022.26	Actin	MSTRG.10102.1.p1;MSTRG.10102.2.p1
MSTRG.10103	3	Actin	PF00022.26	3e-16	Actin	Actin	PF00022.26	Actin	MSTRG.10103.1.p1;MSTRG.10103.2.p1;MSTRG.10103.3.p1
MSTRG.10104	1	LLPH	PF10169.16	3.2e-23	LLP homolog	LLPH	PF10169.16	LLP homolog	MSTRG.10104.1.p1
MSTRG.10110	2	Septin	PF00735.25	6.1e-105	Septin	Septin	PF00735.25	Septin	MSTRG.10110.1.p1;MSTRG.10110.2.p1
MSTRG.10112	1	CENP-N	PF05238.19	3.5e-17	Kinetochore protein CHL4 like	CENP-N	PF05238.19	Kinetochore protein CHL4 like	MSTRG.10112.1.p1
MSTRG.10115	37	Hist_deacetyl	PF00850.25	1.4e-56	Histone deacetylase domain	Hist_deacetyl	PF00850.25	Histone deacetylase domain	MSTRG.10115.20.p2;MSTRG.10115.24.p2;MSTRG.10115.6.p1;MSTRG.10115.1.p1;MSTRG.10115.10.p1;MSTRG.10115.3.p1;MSTRG.10115.4.p1;MSTRG.10115.5.p1;MSTRG.10115.7.p1;MSTRG.10115.8.p1;MSTRG.10115.9.p1;MSTRG.10115.12.p1;MSTRG.10115.11.p1;MSTRG.10115.16.p1;MSTRG.10115.21.p1;MSTRG.10115.17.p1;MSTRG.10115.14.p1;MSTRG.10115.15.p1;MSTRG.10115.19.p1;MSTRG.10115.22.p1;MSTRG.10115.26.p1;MSTRG.10115.27.p1;MSTRG.10115.28.p1;MSTRG.10115.29.p1;MSTRG.10115.30.p1;MSTRG.10115.2.p1;MSTRG.10115.13.p1;MSTRG.10115.18.p1;MSTRG.10115.23.p1;MSTRG.10115.25.p1;MSTRG.10115.31.p1;MSTRG.10115.32.p1;MSTRG.10115.33.p1;MSTRG.10115.34.p1;MSTRG.10115.35.p1;MSTRG.10115.36.p1;MSTRG.10115.37.p1
MSTRG.10118	5	RRM_1	PF00076.29	1.3e-08	RNA recognition motif	RRM_1	PF00076.29	RNA recognition motif	MSTRG.10118.3.p1;MSTRG.10118.5.p1;MSTRG.10118.4.p1;MSTRG.10118.1.p1;MSTRG.10118.2.p1
MSTRG.10119	2	MITF_TFEB_C_3_N	PF15951.11	5.5e-22	MITF/TFEB/TFEC/TFE3 N-terminus	MITF_TFEB_C_3_N;HLH	PF15951.11;PF00010.32	MITF/TFEB/TFEC/TFE3 N-terminus;Helix-loop-helix DNA-binding domain	MSTRG.10119.1.p1
MSTRG.10123	1	7tm_3	PF00003.29	1.6e-36	7 transmembrane sweet-taste receptor of 3 GCPR	7tm_3	PF00003.29	7 transmembrane sweet-taste receptor of 3 GCPR	MSTRG.10123.1.p1
MSTRG.1013	20	SH3_1	PF00018.35	1.9e-13	SH3 domain	SH3_1;SH3_9	PF00018.35;PF14604.13	SH3 domain;Variant SH3 domain	MSTRG.1013.10.p1;MSTRG.1013.8.p1;MSTRG.1013.2.p1;MSTRG.1013.9.p1;MSTRG.1013.3.p1;MSTRG.1013.1.p1;MSTRG.1013.5.p1;MSTRG.1013.4.p1;MSTRG.1013.6.p1;MSTRG.1013.7.p1
MSTRG.10133	2	PH	PF00169.36	2.3e-18	PH domain	PH;PH_11	PF00169.36;PF15413.13	PH domain;Pleckstrin homology domain	MSTRG.10133.1.p1
MSTRG.10136	2	Zn_ribbon_TFIIS	PF01096.24	6.1e-20	Transcription factor S-II (TFIIS)	Zn_ribbon_TFIIS;Zn_ribbon_RPB9	PF01096.24;PF02150.22	Transcription factor S-II (TFIIS);RNA polymerases M/15 Kd subunit	MSTRG.10136.1.p1
MSTRG.10137	2	DUF4495	PF14906.13	3.5e-50	Domain of unknown function (DUF4495)	DUF4495	PF14906.13	Domain of unknown function (DUF4495)	MSTRG.10137.1.p1;MSTRG.10137.2.p1
MSTRG.10138	1	DUF4495	PF14906.13	4.5e-23	Domain of unknown function (DUF4495)	DUF4495	PF14906.13	Domain of unknown function (DUF4495)	MSTRG.10138.1.p1
MSTRG.10143	1	Zip	PF02535.29	5.6e-48	ZIP Zinc transporter	Zip	PF02535.29	ZIP Zinc transporter	MSTRG.10143.1.p1
MSTRG.10146	1	MTABC_N	PF16185.11	1.5e-48	Mitochondrial ABC-transporter N-terminal five TM region	MTABC_N	PF16185.11	Mitochondrial ABC-transporter N-terminal five TM region	MSTRG.10146.1.p1
MSTRG.10148	4	PMSR	PF01625.29	1.1e-46	Peptide methionine sulfoxide reductase	PMSR	PF01625.29	Peptide methionine sulfoxide reductase	MSTRG.10148.1.p1;MSTRG.10148.2.p1;MSTRG.10148.3.p1;MSTRG.10148.4.p1
MSTRG.1015	1	Lectin_C	PF00059.28	3.4e-12	Lectin C-type domain	Lectin_C	PF00059.28	Lectin C-type domain	MSTRG.1015.1.p1
MSTRG.10150	1	HTH_animal	PF26215.1	1.3e-11	Animal helix-turn-helix domain	HTH_animal	PF26215.1	Animal helix-turn-helix domain	MSTRG.10150.1.p1
MSTRG.10151	33	Cullin	PF00888.30	4.8e-93	Cullin alpha solenoid domain	Cullin;Cullin_AB;Cullin_Nedd8;HTH_animal	PF00888.30;PF26557.1;PF10557.16;PF26215.1	Cullin alpha solenoid domain;Cullin alpha+beta domain;Cullin protein neddylation domain;Animal helix-turn-helix domain	MSTRG.10151.1.p1;MSTRG.10151.2.p1;MSTRG.10151.3.p1;MSTRG.10151.4.p1;MSTRG.10151.5.p1;MSTRG.10151.6.p1;MSTRG.10151.7.p1;MSTRG.10151.10.p1;MSTRG.10151.9.p1;MSTRG.10151.1.p2;MSTRG.10151.2.p2;MSTRG.10151.3.p2;MSTRG.10151.4.p2;MSTRG.10151.5.p2;MSTRG.10151.6.p2
MSTRG.10152	2	Cullin	PF00888.30	1.9e-07	Cullin alpha solenoid domain	Cullin	PF00888.30	Cullin alpha solenoid domain	MSTRG.10152.1.p1;MSTRG.10152.2.p1
MSTRG.10155	2	XLF	PF09302.17	3.1e-22	XLF N-terminal domain	XLF;XLF_CC	PF09302.17;PF21928.2	XLF N-terminal domain;XLF protein coiled-coil region	MSTRG.10155.1.p1
MSTRG.1016	16	Lectin_C	PF00059.28	1.2e-21	Lectin C-type domain	Lectin_C	PF00059.28	Lectin C-type domain	MSTRG.1016.1.p1;MSTRG.1016.2.p1;MSTRG.1016.3.p1
MSTRG.10161	4	FERM_C	PF09380.17	3.9e-29	FERM C-terminal PH-like domain	FERM_C;FERM_M;FERM_N;FA	PF09380.17;PF00373.24;PF09379.17;PF08736.17	FERM C-terminal PH-like domain;FERM central domain;FERM N-terminal domain;FERM adjacent (FA)	MSTRG.10161.1.p1
MSTRG.10164	1	IDO	PF01231.24	1.4e-35	Indoleamine 2,3-dioxygenase	IDO	PF01231.24	Indoleamine 2,3-dioxygenase	MSTRG.10164.1.p1
MSTRG.10165	2	IDO	PF01231.24	4.2e-46	Indoleamine 2,3-dioxygenase	IDO	PF01231.24	Indoleamine 2,3-dioxygenase	MSTRG.10165.1.p1;MSTRG.10165.2.p1
MSTRG.10169	2	Ras	PF00071.29	9.2e-24	Ras family	Ras	PF00071.29	Ras family	MSTRG.10169.1.p1;MSTRG.10169.2.p1
MSTRG.10172	1	Tudor_Coilin	PF23086.2	9.1e-11	Coilin, C-terminal Tudor domain	Tudor_Coilin	PF23086.2	Coilin, C-terminal Tudor domain	MSTRG.10172.1.p1
MSTRG.10175	34	4_1_CTD	PF05902.19	5.2e-15	4.1 protein C-terminal domain (CTD)	4_1_CTD	PF05902.19	4.1 protein C-terminal domain (CTD)	MSTRG.10175.5.p1;MSTRG.10175.22.p1;MSTRG.10175.31.p1;MSTRG.10175.11.p1;MSTRG.10175.30.p1;MSTRG.10175.20.p1;MSTRG.10175.23.p1;MSTRG.10175.7.p1;MSTRG.10175.10.p1;MSTRG.10175.28.p1;MSTRG.10175.1.p1;MSTRG.10175.16.p1;MSTRG.10175.13.p1;MSTRG.10175.19.p1;MSTRG.10175.34.p1;MSTRG.10175.9.p1;MSTRG.10175.24.p1;MSTRG.10175.21.p1;MSTRG.10175.2.p1;MSTRG.10175.33.p1;MSTRG.10175.17.p1;MSTRG.10175.32.p1;MSTRG.10175.12.p1;MSTRG.10175.8.p1;MSTRG.10175.29.p1;MSTRG.10175.4.p1;MSTRG.10175.15.p1;MSTRG.10175.25.p1;MSTRG.10175.26.p1;MSTRG.10175.3.p1;MSTRG.10175.6.p1;MSTRG.10175.14.p1;MSTRG.10175.27.p1;MSTRG.10175.18.p1
MSTRG.1018	3	SH3_9	PF14604.13	8.9e-10	Variant SH3 domain	SH3_9;SH3_2;SH3_1	PF14604.13;PF07653.24;PF00018.35	Variant SH3 domain;SH3 domain	MSTRG.1018.1.p1
MSTRG.10183	16	C2orf69	PF10561.16	1.7e-39	C2orf69	C2orf69	PF10561.16	C2orf69	MSTRG.10183.8.p1;MSTRG.10183.3.p1;MSTRG.10183.5.p1;MSTRG.10183.6.p1;MSTRG.10183.1.p1;MSTRG.10183.4.p1;MSTRG.10183.7.p1;MSTRG.10183.2.p1
MSTRG.10184	5	Slu7	PF11708.14	1.8e-101	Pre-mRNA splicing Prp18-interacting factor	Slu7	PF11708.14	Pre-mRNA splicing Prp18-interacting factor	MSTRG.10184.2.p1;MSTRG.10184.3.p1;MSTRG.10184.4.p1;MSTRG.10184.5.p1;MSTRG.10184.1.p1
MSTRG.10185	1	bZIP_1	PF00170.27	1.1e-14	bZIP transcription factor	bZIP_1	PF00170.27	bZIP transcription factor	MSTRG.10185.1.p1
MSTRG.10186	2	DEAD	PF00270.36	7.2e-41	DEAD/DEAH box helicase	DEAD;Helicase_C	PF00270.36;PF00271.38	DEAD/DEAH box helicase;Helicase conserved C-terminal domain	MSTRG.10186.1.p1
MSTRG.10188	1	pKID	PF02173.23	3.9e-15	pKID domain	pKID	PF02173.23	pKID domain	MSTRG.10188.1.p1
MSTRG.10189	5	Fez1	PF06818.21	6.9e-20	Fez1	Fez1;PPTA	PF06818.21;PF01239.29	Fez1;Protein prenyltransferase alpha subunit repeat	MSTRG.10189.1.p1;MSTRG.10189.1.p2
MSTRG.10190	2	Fez1	PF06818.21	5.1e-20	Fez1	Fez1	PF06818.21	Fez1	MSTRG.10190.1.p1;MSTRG.10190.2.p1
MSTRG.10193	2	Tmp39	PF10271.15	4.7e-92	Putative transmembrane protein	Tmp39	PF10271.15	Putative transmembrane protein	MSTRG.10193.2.p1;MSTRG.10193.1.p1
MSTRG.10194	1	Tmp39	PF10271.15	1.7e-19	Putative transmembrane protein	Tmp39	PF10271.15	Putative transmembrane protein	MSTRG.10194.1.p1
MSTRG.10200	2	ANF_receptor	PF01094.35	2e-30	Receptor family ligand binding region	ANF_receptor;Peripla_BP_6	PF01094.35;PF13458.13	Receptor family ligand binding region;Periplasmic binding protein	MSTRG.10200.1.p1
MSTRG.10202	8	Lig_chan	PF00060.33	5.1e-37	Ligand-gated ion channel	Lig_chan;Lig_chan-Glu_bd;CaM_bdg_C0;SBP_bac_3	PF00060.33;PF10613.15;PF10562.15;PF00497.26	Ligand-gated ion channel;Ligated ion channel L-glutamate- and glycine-binding site;Calmodulin-binding domain C0 of NMDA receptor NR1 subunit;Bacterial extracellular solute-binding proteins, family 3	MSTRG.10202.1.p1;MSTRG.10202.2.p1
MSTRG.10206	1	Exo_endo_phos	PF03372.30	4.7e-12	Endonuclease/Exonuclease/phosphatase family	Exo_endo_phos	PF03372.30	Endonuclease/Exonuclease/phosphatase family	MSTRG.10206.1.p1
MSTRG.10210	11	zf-H2C2_2	PF13465.13	1.4e-08	Zinc-finger double domain	zf-H2C2_2	PF13465.13	Zinc-finger double domain	MSTRG.10210.1.p1
MSTRG.10211	15	zf-H2C2_2	PF13465.13	2.3e-09	Zinc-finger double domain	zf-H2C2_2	PF13465.13	Zinc-finger double domain	MSTRG.10211.1.p1
MSTRG.10213	1	YhhN	PF07947.20	3.3e-39	YhhN family	YhhN	PF07947.20	YhhN family	MSTRG.10213.1.p2
MSTRG.10214	2	WAP	PF00095.27	7.9e-11	WAP-type (Whey Acidic Protein) 'four-disulfide core'	WAP	PF00095.27	WAP-type (Whey Acidic Protein) 'four-disulfide core'	MSTRG.10214.1.p1
MSTRG.10219	1	Lectin_C	PF00059.28	3.2e-06	Lectin C-type domain	Lectin_C	PF00059.28	Lectin C-type domain	MSTRG.10219.1.p1
MSTRG.1022	3	CDK5RAP3	PF05600.18	8.7e-150	CDK5 regulatory subunit-associated protein 3	CDK5RAP3	PF05600.18	CDK5 regulatory subunit-associated protein 3	MSTRG.1022.1.p1;MSTRG.1022.2.p1;MSTRG.1022.3.p1
MSTRG.10222	2	Cu_amine_oxid	PF01179.28	7.8e-28	Copper amine oxidase, enzyme domain	Cu_amine_oxid	PF01179.28	Copper amine oxidase, enzyme domain	MSTRG.10222.1.p1;MSTRG.10222.2.p1
MSTRG.10223	1	Cu_amine_oxid	PF01179.28	5e-63	Copper amine oxidase, enzyme domain	Cu_amine_oxid	PF01179.28	Copper amine oxidase, enzyme domain	MSTRG.10223.1.p1
MSTRG.10225	34	CDK2AP	PF09806.15	5.1e-23	Cyclin-dependent kinase 2-associated protein	CDK2AP;WD40_CDC20-Fz;Beta-prop_WDR5;WDR55;Beta-prop_IFT122_1st;Beta-prop_THOC3;Beta-prop_WDR3_1st;WD40_Prp19;Beta-prop_EIPR1	PF09806.15;PF24807.2;PF25175.2;PF24796.2;PF23381.2;PF25174.2;PF25173.2;PF24814.2;PF23609.2	Cyclin-dependent kinase 2-associated protein;CDC20/Fizzy WD40 domain;WDR5 beta-propeller domain;WDR55;IFT122 first beta-propeller;THOC3 beta-propeller domain;WDR3 first beta-propeller domain;Prp19 WD40 domain;EIPR1 beta-propeller	MSTRG.10225.7.p1;MSTRG.10225.1.p2;MSTRG.10225.2.p2;MSTRG.10225.3.p2;MSTRG.10225.5.p2;MSTRG.10225.6.p2;MSTRG.10225.4.p2;MSTRG.10225.1.p1;MSTRG.10225.4.p1;MSTRG.10225.2.p1;MSTRG.10225.3.p1;MSTRG.10225.5.p1;MSTRG.10225.6.p1
MSTRG.10226	1	GET4	PF04190.20	7.3e-81	Golgi to ER traffic protein 4	GET4	PF04190.20	Golgi to ER traffic protein 4	MSTRG.10226.1.p1
MSTRG.10228	1	SSF	PF00474.24	3.7e-12	Sodium:solute symporter family	SSF	PF00474.24	Sodium:solute symporter family	MSTRG.10228.1.p1
MSTRG.10230	1	SSF	PF00474.24	1.2e-13	Sodium:solute symporter family	SSF	PF00474.24	Sodium:solute symporter family	MSTRG.10230.1.p1
MSTRG.10237	2	PK_Tyr_Ser-Thr	PF07714.24	9.2e-11	Protein tyrosine and serine/threonine kinase	PK_Tyr_Ser-Thr;Pkinase	PF07714.24;PF00069.32	Protein tyrosine and serine/threonine kinase;Protein kinase domain	MSTRG.10237.1.p1
MSTRG.10239	2	Beta-prop_LRRK2	PF23748.2	6.8e-08	LRRK2 beta propeller	Beta-prop_LRRK2	PF23748.2	LRRK2 beta propeller	MSTRG.10239.1.p1;MSTRG.10239.2.p1
MSTRG.10247	2	Arrestin_C	PF02752.28	2.5e-08	Arrestin (or S-antigen), C-terminal domain	Arrestin_C	PF02752.28	Arrestin (or S-antigen), C-terminal domain	MSTRG.10247.1.p1;MSTRG.10247.2.p1
MSTRG.10253	32	I-set	PF07679.23	6.8e-16	Immunoglobulin I-set domain	I-set;Ig_3;Ig_2;ig	PF07679.23;PF13927.13;PF13895.13;PF00047.32	Immunoglobulin I-set domain;Immunoglobulin domain	MSTRG.10253.3.p1;MSTRG.10253.4.p1;MSTRG.10253.1.p1;MSTRG.10253.2.p1
MSTRG.10254	4	O-FucT	PF10250.16	6.4e-54	GDP-fucose protein O-fucosyltransferase	O-FucT	PF10250.16	GDP-fucose protein O-fucosyltransferase	MSTRG.10254.1.p1;MSTRG.10254.2.p1;MSTRG.10254.3.p1;MSTRG.10254.3.p2
